Quadrantiden,12-28,01-12,01-03,15:20,49,41,120,Stark
Gamma-Veliden,01-01,01-15,01-05,8:20,-47,35,2,Schwach
Alpha-Cruciden,01-06,01-28,01-15,12:48,-63,50,3,Schwach
Delta-Cancriden1,01-01,01-31,01-17,8:40,20,28,4,Mittel
Alpha-Hydriden,01-05,02-14,01-19,8:52,-11,44,2,Schwach
Gamma-Ursa-Minoriden,01-15,01-25,01-20,15:12,67,31,3,Schwach
Eta-Cariniden,01-14,01-27,01-21,10:40,-59,,2,Schwach
Alpha-Cariniden,01-24,02-09,01-30,6:20,-54,25,2,Schwach
Delta-Veliden,01-22,02-21,02-05,8:44,-52,35,1,Schwach
Alpha-Centauriden,01-28,02-21,02-08,14:00,-59,56,6,Mittel
Omicron-Centauriden,01-31,02-19,02-11,11:48,-56,51,2,Schwach
Theta-Centauriden,01-23,03-12,02-21,14:00,-41,60,4,Schwach
Delta-Leoniden,02-15,03-10,02-25,11:12,16,23,2,Mittel
Gamma-Normiden,02-25,03-28,03-14,15:56,-50,56,6,Mittel
Delta-Pavoniden,03-11,04-16,03-30,20:30,-63,60,5,Schwach
Lyriden,04-16,04-25,04-22,18:04,34,49,18,Stark
Pi-Puppiden,04-15,04-28,04-23,7:20,-45,18,Variabel,Schwach
Alpha-Bootiden,04-14,05-12,04-28,14:32,19,20,2,Schwach
Mu-Virginiden,04-01,05-12,04-29,15:08,-07,30,2,Schwach
Omega-Capricorniden,04-19,05-15,05-02,21:00,-22,50,2,Schwach
Eta-Aquariiden,04-19,05-28,05-06,22:32,-01,66,50,Stark
Eta-Lyriden,05-03,05-14,05-09,19:08,44,43,3,Schwach
Alpha-Scorpiiden,05-01,05-31,05-16,16:12,-21,35,5,Mittel
Beta-Coronae-Austriniden,04-23,05-30,05-16,18:56,-40,45,3,Schwach
Omega-Scorpiiden,05-23,06-15,06-02,15:56,-20,21,5,Schwach
Arietiden,05-14,06-24,06-07,2:56,24,38,50,Stark
Tau-Herculiden,05-19,06-19,06-09,15:44,41,15,2,Schwach
Juni-Lyriden,06-11,06-21,06-16,18:32,35,31,Variabel,Schwach
Sagittariiden1,06-01,07-15,06-19,18:16,-23,30,5,Mittel
Ophiuchiden,06-17,06-26,06-20,17:20,-20,,6,Schwach
Tau-Cetiden,06-18,07-04,06-27,1:36,-12,66,4,Schwach
Juni-Bootiden,06-22,07-02,06-27,14:56,48,18,Variabel,Schwach
Tau-Aquariiden,06-19,07-05,06-28,22:48,-12,63,7,Schwach
Theta-Ophiuchiden,06-04,07-15,06-29,16:36,-15,29,2,Schwach
Pegasiden,07-07,07-13,07-09,22:40,15,70,3,Mittel
Juli-Phöniciden,07-10,07-16,07-13,2:08,-48,47,Variabel,Schwach
Alpha-Cygniden,07-11,07-30,07-18,20:20,47,37,2,Schwach
Sigma-Capricorniden,07-15,08-11,07-20,20:28,-15,30,5,Schwach
Piscis-Austriniden,07-15,08-10,07-27,22:44,-30,35,5,Mittel
Südliche Delta-Aquariiden,07-12,08-23,07-30,22:40,-16,41,25,Stark
Alpha-Capricorniden,07-03,08-15,07-30,20:28,-10,23,5,Mittel
Südliche Iota-Aquariiden1,07-25,08-15,08-04,22:16,-15,34,2,Mittel
Nördliche Delta-Aquariiden,07-15,08-25,08-08,22:20,-05,42,4,Mittel
Perseiden,07-17,08-24,08-12,3:12,58,59,150,Stark
Kappa-Cygniden,08-03,08-25,08-17,19:04,59,25,3,Mittel
Nördliche Iota-Aquariiden1,08-11,08-31,08-20,21:48,-06,31,3,Mittel
Pi-Eridaniden,08-20,09-05,08-25,3:28,-15,59,4,Schwach
Gamma-Doradiden,08-19,09-06,08-28,4:36,-50,41,5,Schwach
Alpha-Aurigiden,08-28,09-05,09-01,6:04,39,66,6,Mittel
September-epsilon-Perseiden,09-05,09-21,09-09,3:12,40,64,5,Mittel
Ariiden-Trianguliden,09-09,09-16,09-12,2:00,29,35,3,Schwach
Pisciden1,09-01,09-30,09-20,0:32,0,26,3,Mittel
Kappa-Aquariiden,09-08,09-30,09-20,22:36,-02,16,3,Schwach
Sextaniden,09-09,10-09,09-27,10:08,0,32,5,Schwach
Oktober-Arietiden,10-01,10-31,10-08,2:08,8,28,5,Mittel
Draconiden,10-06,10-10,10-08,17:28,54,20,Variabel,Schwach
Südliche Tauriden,09-10,11-20,10-10,2:08,9,27,5,Mittel
Delta-Aurigiden,10-10,10-18,10-11,5:36,44,64,2,Schwach
Epsilon-Geminiden,10-14,10-27,10-18,6:48,27,70,3,Schwach
Orioniden,10-02,11-07,10-21,6:20,16,66,15,Stark
Leo-Minoriden,10-19,10-27,10-24,10:48,37,62,2,Schwach
Delta-Eridaniden,11-06,11-29,11-10,3:52,-09,31,2,Schwach
Nördliche Tauriden,10-20,12-10,11-12,3:52,22,29,5,Mittel
Zeta-Puppiden,11-02,12-20,11-13,7:48,-42,41,3,Schwach
Leoniden,11-06,11-30,11-17,10:08,22,71,15,Schwach
Alpha-Monocerotiden,11-15,11-25,11-21,7:48,1,65,Variabel,Schwach
November-Orioniden,11-13,12-06,11-28,6:04,16,44,3,Mittel
Chi-Orioniden1,11-25,12-31,12-02,5:28,23,28,3,Mittel
Dezember-Phoeniciniden,11-28,12-09,12-02,1:12,-53,18,Variabel,Schwach
Puppiden-Veliden,12-01,12-15,12-07,8:12,-45,40,10,Mittel
Monocerotiden,12-05,12-20,12-08,6:40,8,41,2,Mittel
Sigma-Hydriden,12-03,12-15,12-11,8:28,2,58,3,Mittel
Geminiden,12-04,12-17,12-14,7:28,33,35,120,Stark
Coma-Bereniciden,12-12,01-23,12-16,11:40,18,65,3,Schwach
Dezember-Leonis-Minoriden,12-05,02-04,12-20,10:44,30,64,5,Mittel
Ursiden,12-17,12-26,12-22,14:28,76,33,10,Stark